search_date	database	query	title	year	journal	study_type	sample_or_dataset	major_finding	relevant_manuscript_section	doi	pmid	include_or_exclude	exclusion_reason
2026-07-17	PubMed/DOI	background angiogenesis context	The role of angiogenesis in the development of proliferative diabetic retinopathy: impact of intravitreal anti-VEGF treatment	2012	Exp Diabetes Res	original/resource/method/reference audit	background angiogenesis context	background angiogenesis context	Background	10.1155/2012/728325		include	
2026-07-17	PubMed/DOI	background inflammatory context	Diabetic retinopathy and inflammation: novel therapeutic targets	2012	Middle East Afr J Ophthalmol	original/resource/method/reference audit	background inflammatory context	background inflammatory context	Background	10.4103/0974-9233.92116		include	
2026-07-17	PubMed/DOI	PDR FVM scRNA-seq primary evidence	Single-Cell Transcriptomics Reveals Novel Role of Microglia in Fibrovascular Membrane of Proliferative Diabetic Retinopathy	2022	Diabetes	original/resource/method/reference audit	PDR FVM scRNA-seq primary evidence	PDR FVM scRNA-seq primary evidence	Background/Discussion	10.2337/db21-0551	35061025	include	
2026-07-17	PubMed/DOI	PDR FVM scRNA-seq and pericyte-myofibroblast functional validation	Single-cell transcriptomics analysis of proliferative diabetic retinopathy fibrovascular membranes reveals AEBP1 as fibrogenesis modulator	2023	JCI Insight	original/resource/method/reference audit	PDR FVM scRNA-seq and pericyte-myofibroblast functional validation	PDR FVM scRNA-seq and pericyte-myofibroblast functional validation	Background/Discussion	10.1172/jci.insight.172062	37917183	include	
2026-07-17	PubMed/DOI	PDR FVM bulk transcriptomic comparator	Microarray analysis of gene expression in fibrovascular membranes excised from patients with proliferative diabetic retinopathy	2015	Invest Ophthalmol Vis Sci	original/resource/method/reference audit	PDR FVM bulk transcriptomic comparator	PDR FVM bulk transcriptomic comparator	Background/Discussion	10.1167/iovs.14-15589		include	
2026-07-17	PubMed/DOI	retinal transcriptomic comparator	In-depth transcriptomic analysis of human retina reveals molecular mechanisms underlying diabetic retinopathy	2021	Sci Rep	original/resource/method/reference audit	retinal transcriptomic comparator	retinal transcriptomic comparator	Background/Discussion	10.1038/s41598-021-88698-3		include	
2026-07-17	PubMed/DOI	recent PDR transcriptomic evidence for fibrosis/lymphatic/angiogenesis axes	Proliferative diabetic retinopathy transcriptomes reveal angiogenesis, anti-angiogenic therapy escape mechanisms, fibrosis and lymphatic involvement	2021	Sci Rep	original/resource/method/reference audit	recent PDR transcriptomic evidence for fibrosis/lymphatic/angiogenesis axes	recent PDR transcriptomic evidence for fibrosis/lymphatic/angiogenesis axes	Discussion	10.1038/s41598-021-97970-5	34552123	include	
2026-07-17	PubMed/DOI	PDR neovascularization mechanism context	Induced expression of VEGFC, ANGPT, and EFNB2 and their receptors characterizes neovascularization in proliferative diabetic retinopathy	2019	Invest Ophthalmol Vis Sci	original/resource/method/reference audit	PDR neovascularization mechanism context	PDR neovascularization mechanism context	Discussion	10.1167/iovs.19-26767		include	
2026-07-17	PubMed/DOI	retinal endothelial functional validation example	Identification of RUNX1 as a mediator of aberrant retinal angiogenesis	2017	Diabetes	original/resource/method/reference audit	retinal endothelial functional validation example	retinal endothelial functional validation example	Discussion	10.2337/db16-1035		include	
2026-07-17	PubMed/DOI	recent PDR EndoMT/inflammation/autophagy comparator	Interplay of endothelial-mesenchymal transition, inflammation, and autophagy in proliferative diabetic retinopathy pathogenesis	2024	Heliyon	original/resource/method/reference audit	recent PDR EndoMT/inflammation/autophagy comparator	recent PDR EndoMT/inflammation/autophagy comparator	Discussion	10.1016/j.heliyon.2024.e25166	38327444	include	
